removed_galaxy_id,h0_without_galaxy,delta_h0_from_full,absolute_delta_h0
G15_outlier,67.59545289539624,-0.7951767110088355,0.7951767110088355
G14,69.16664138860824,0.7760117822031702,0.7760117822031702
G10,68.06717836967607,-0.32345123672899945,0.32345123672899945
G11,68.59189516885306,0.2012655624479862,0.2012655624479862
G09,68.52969504332341,0.13906543691834372,0.13906543691834372
G06,68.47930541209132,0.08867580568625044,0.08867580568625044
G13,68.3218609274734,-0.06876867893167571,0.06876867893167571
G04,68.4485865856871,0.057956979282025145,0.057956979282025145
G12,68.44336398609256,0.05273437968749306,0.05273437968749306
G08,68.43342266887625,0.04279306247117631,0.04279306247117631
G05,68.36637524728242,-0.024254359122650726,0.024254359122650726
G07,68.40961188713888,0.01898228073380892,0.01898228073380892
G02,68.40188727022878,0.01125766382371296,0.01125766382371296
G01,68.38624124704904,-0.004388359356028104,0.004388359356028104
G03,68.38712896905149,-0.003500637353582192,0.003500637353582192
